Format,Rank,Name,Team,Position,Age,Tier,Trend,Base Value,TEP Level,Adjusted Value
2,17,Patrick Mahomes,KCC,QB,29.2,6,-4,7211,Baseline,7211
2,17,Patrick Mahomes,KCC,QB,29.2,6,-4,7211,1.1,7211
2,17,Patrick Mahomes,KCC,QB,29.2,6,-4,7211,1.2,7211
2,17,Patrick Mahomes,KCC,QB,29.2,6,-4,7211,1.3,7211
2,18,Jordan Love,GBP,QB,26.0,6,-8,7089,Baseline,7089
2,18,Jordan Love,GBP,QB,26.0,6,-8,7089,1.1,7089
2,18,Jordan Love,GBP,QB,26.0,6,-8,7089,1.2,7089
2,18,Jordan Love,GBP,QB,26.0,6,-8,7089,1.3,7089
2,19,Puka Nacua,LAR,WR,23.5,6,6,7081,Baseline,7081
2,19,Puka Nacua,LAR,WR,23.5,6,6,7081,1.1,7081
2,19,Puka Nacua,LAR,WR,23.5,6,6,7081,1.2,7081
2,19,Puka Nacua,LAR,WR,23.5,6,6,7081,1.3,7081
2,20,Saquon Barkley,PHI,RB,27.8,6,7,6972,Baseline,6972
2,20,Saquon Barkley,PHI,RB,27.8,6,7,6972,1.1,6972
2,20,Saquon Barkley,PHI,RB,27.8,6,7,6972,1.2,6972
2,20,Saquon Barkley,PHI,RB,27.8,6,7,6972,1.3,6972
2,21,Breece Hall,NYJ,RB,23.5,7,-1,6756,Baseline,6756
2,21,Breece Hall,NYJ,RB,23.5,7,-1,6756,1.1,6756
2,21,Breece Hall,NYJ,RB,23.5,7,-1,6756,1.2,6756
2,21,Breece Hall,NYJ,RB,23.5,7,-1,6756,1.3,6756
2,22,A.J. Brown,PHI,WR,27.4,7,-1,6712,Baseline,6712
2,22,A.J. Brown,PHI,WR,27.4,7,-1,6712,1.1,6712
2,22,A.J. Brown,PHI,WR,27.4,7,-1,6712,1.2,6712
2,22,A.J. Brown,PHI,WR,27.4,7,-1,6712,1.3,6712
2,23,Kyler Murray,ARI,QB,27.3,7,1,6704,Baseline,6704
2,23,Kyler Murray,ARI,QB,27.3,7,1,6704,1.1,6704
2,23,Kyler Murray,ARI,QB,27.3,7,1,6704,1.2,6704
2,23,Kyler Murray,ARI,QB,27.3,7,1,6704,1.3,6704
2,24,Justin Herbert,LAC,QB,26.7,7,12,6693,Baseline,6693
2,24,Justin Herbert,LAC,QB,26.7,7,12,6693,1.1,6693
2,24,Justin Herbert,LAC,QB,26.7,7,12,6693,1.2,6693
2,24,Justin Herbert,LAC,QB,26.7,7,12,6693,1.3,6693
2,25,Garrett Wilson,NYJ,WR,24.3,7,4,6616,Baseline,6616
2,25,Garrett Wilson,NYJ,WR,24.3,7,4,6616,1.1,6616
2,25,Garrett Wilson,NYJ,WR,24.3,7,4,6616,1.2,6616
2,25,Garrett Wilson,NYJ,WR,24.3,7,4,6616,1.3,6616
2,26,De'Von Achane,MIA,RB,23.1,8,11,6483,Baseline,6483
2,26,De'Von Achane,MIA,RB,23.1,8,11,6483,1.1,6483
2,26,De'Von Achane,MIA,RB,23.1,8,11,6483,1.2,6483
2,26,De'Von Achane,MIA,RB,23.1,8,11,6483,1.3,6483
2,27,Drake London,ATL,WR,23.3,8,-5,6477,Baseline,6477
2,27,Drake London,ATL,WR,23.3,8,-5,6477,1.1,6477
2,27,Drake London,ATL,WR,23.3,8,-5,6477,1.2,6477
2,27,Drake London,ATL,WR,23.3,8,-5,6477,1.3,6477
2,28,Brian Thomas Jr.,JAC,WR,22.1,8,-3,6408,Baseline,6408
2,28,Brian Thomas Jr.,JAC,WR,22.1,8,-3,6408,1.1,6408
2,28,Brian Thomas Jr.,JAC,WR,22.1,8,-3,6408,1.2,6408
2,28,Brian Thomas Jr.,JAC,WR,22.1,8,-3,6408,1.3,6408
2,29,2025 Early 1st,FA,PICK,N/A,8,-6,6360,Baseline,6360
2,29,2025 Early 1st,FA,PICK,N/A,8,-6,6360,1.1,6360
2,29,2025 Early 1st,FA,PICK,N/A,8,-6,6360,1.2,6360
2,29,2025 Early 1st,FA,PICK,N/A,8,-6,6360,1.3,6360
2,30,Brock Purdy,SFO,QB,24.9,9,-2,6195,Baseline,6195
2,30,Brock Purdy,SFO,QB,24.9,9,-2,6195,1.1,6195
2,30,Brock Purdy,SFO,QB,24.9,9,-2,6195,1.2,6195
2,30,Brock Purdy,SFO,QB,24.9,9,-2,6195,1.3,6195
2,31,Kyren Williams,LAR,RB,24.2,9,-1,6174,Baseline,6174
2,31,Kyren Williams,LAR,RB,24.2,9,-1,6174,1.1,6174
2,31,Kyren Williams,LAR,RB,24.2,9,-1,6174,1.2,6174
2,31,Kyren Williams,LAR,RB,24.2,9,-1,6174,1.3,6174
2,32,Drake Maye,NEP,QB,22.2,9,10,6154,Baseline,6154
2,32,Drake Maye,NEP,QB,22.2,9,10,6154,1.1,6154
2,32,Drake Maye,NEP,QB,22.2,9,10,6154,1.2,6154
2,32,Drake Maye,NEP,QB,22.2,9,10,6154,1.3,6154
2,33,Caleb Williams,CHI,QB,23.0,9,-22,6118,Baseline,6118
2,33,Caleb Williams,CHI,QB,23.0,9,-22,6118,1.1,6118
2,33,Caleb Williams,CHI,QB,23.0,9,-22,6118,1.2,6118
2,33,Caleb Williams,CHI,QB,23.0,9,-22,6118,1.3,6118
2,34,Trey McBride,ARI,TE,25.0,10,1,5916,Baseline,5916
2,34,Trey McBride,ARI,TE,25.0,10,1,5916,1.1,6600
2,34,Trey McBride,ARI,TE,25.0,10,1,5916,1.2,7229
2,34,Trey McBride,ARI,TE,25.0,10,1,5916,1.3,7857
2,35,Kenneth Walker III,SEA,RB,24.1,10,-3,5911,Baseline,5911
2,35,Kenneth Walker III,SEA,RB,24.1,10,-3,5911,1.1,5911
2,35,Kenneth Walker III,SEA,RB,24.1,10,-3,5911,1.2,5911
2,35,Kenneth Walker III,SEA,RB,24.1,10,-3,5911,1.3,5911
2,36,Jonathan Taylor,IND,RB,25.8,10,5,5829,Baseline,5829
2,36,Jonathan Taylor,IND,RB,25.8,10,5,5829,1.1,5829
2,36,Jonathan Taylor,IND,RB,25.8,10,5,5829,1.2,5829
2,36,Jonathan Taylor,IND,RB,25.8,10,5,5829,1.3,5829
2,37,Christian McCaffrey,SFO,RB,28.4,10,13,5794,Baseline,5794
2,37,Christian McCaffrey,SFO,RB,28.4,10,13,5794,1.1,5794
2,37,Christian McCaffrey,SFO,RB,28.4,10,13,5794,1.2,5794
2,37,Christian McCaffrey,SFO,RB,28.4,10,13,5794,1.3,5794
2,38,Bo Nix,DEN,QB,24.7,10,44,5716,Baseline,5716
2,38,Bo Nix,DEN,QB,24.7,10,44,5716,1.1,5716
2,38,Bo Nix,DEN,QB,24.7,10,44,5716,1.2,5716
2,38,Bo Nix,DEN,QB,24.7,10,44,5716,1.3,5716
2,39,2026 Early 1st,FA,PICK,N/A,10,-5,5694,Baseline,5694
2,39,2026 Early 1st,FA,PICK,N/A,10,-5,5694,1.1,5694
2,39,2026 Early 1st,FA,PICK,N/A,10,-5,5694,1.2,5694
2,39,2026 Early 1st,FA,PICK,N/A,10,-5,5694,1.3,5694
2,40,George Pickens,PIT,WR,23.7,10,40,5673,Baseline,5673
